"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2023 Week 01 ending January 07, 2023","2023/01","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 03 ending January 21, 2023","2023/03","Renal failure","N17-N19","75-84 years","75-84",11,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 04 ending January 28, 2023","2023/04","Renal failure","N17-N19","75-84 years","75-84",17,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 06 ending February 11, 2023","2023/06","Renal failure","N17-N19","75-84 years","75-84",15,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 08 ending February 25, 2023","2023/08","Renal failure","N17-N19","65-74 years","65-74",11,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 08 ending February 25, 2023","2023/08","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 10 ending March 11, 2023","2023/10","Renal failure","N17-N19","65-74 years","65-74",12,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 12 ending March 25, 2023","2023/12","Renal failure","N17-N19","85+ years","85+",11,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 16 ending April 22, 2023","2023/16","Renal failure","N17-N19","65-74 years","65-74",14,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 24 ending June 17, 2023","2023/24","Renal failure","N17-N19","75-84 years","75-84",12,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 25 ending June 24, 2023","2023/25","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 26 ending July 01, 2023","2023/26","Renal failure","N17-N19","85+ years","85+",10,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 29 ending July 22, 2023","2023/29","Renal failure","N17-N19","75-84 years","75-84",12,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 39 ending September 30, 2023","2023/39","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 41 ending October 14, 2023","2023/41","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2023 Week 43 ending October 28, 2023","2023/43","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
