"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2021 Week 03 ending January 23, 2021","2021/03","Renal failure","N17-N19","85+ years","85+",13,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 09 ending March 06, 2021","2021/09","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 10 ending March 13, 2021","2021/10","Renal failure","N17-N19","75-84 years","75-84",12,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 17 ending May 01, 2021","2021/17","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 19 ending May 15, 2021","2021/19","Renal failure","N17-N19","75-84 years","75-84",13,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 24 ending June 19, 2021","2021/24","Renal failure","N17-N19","65-74 years","65-74",12,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 30 ending July 31, 2021","2021/30","Renal failure","N17-N19","75-84 years","75-84",13,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 33 ending August 21, 2021","2021/33","Renal failure","N17-N19","85+ years","85+",13,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 35 ending September 04, 2021","2021/35","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 36 ending September 11, 2021","2021/36","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 38 ending September 25, 2021","2021/38","Renal failure","N17-N19","65-74 years","65-74",11,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 43 ending October 30, 2021","2021/43","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 48 ending December 04, 2021","2021/48","Renal failure","N17-N19","75-84 years","75-84",11,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 49 ending December 11, 2021","2021/49","Renal failure","N17-N19","85+ years","85+",12,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 50 ending December 18, 2021","2021/50","Renal failure","N17-N19","65-74 years","65-74",11,Not Applicable,Not Applicable
,"Arizona","04","2021 Week 02 ending January 16, 2021","2021/02","Renal failure","N17-N19","75-84 years","75-84",12,Not Applicable,Not Applicable
,"Arkansas","05","2021 Week 14 ending April 10, 2021","2021/14","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"California","06","2021 Week 01 ending January 09, 2021","2021/01","Renal failure","N17-N19","55-64 years","55-64",13,Not Applicable,Not Applicable
,"California","06","2021 Week 01 ending January 09, 2021","2021/01","Renal failure","N17-N19","65-74 years","65-74",32,Not Applicable,Not Applicable
,"California","06","2021 Week 01 ending January 09, 2021","2021/01","Renal failure","N17-N19","75-84 years","75-84",35,Not Applicable,Not Applicable
,"California","06","2021 Week 01 ending January 09, 2021","2021/01","Renal failure","N17-N19","85+ years","85+",35,Not Applicable,Not Applicable
,"California","06","2021 Week 02 ending January 16, 2021","2021/02","Renal failure","N17-N19","55-64 years","55-64",17,Not Applicable,Not Applicable
,"California","06","2021 Week 02 ending January 16, 2021","2021/02","Renal failure","N17-N19","65-74 years","65-74",28,Not Applicable,Not Applicable
,"California","06","2021 Week 02 ending January 16, 2021","2021/02","Renal failure","N17-N19","75-84 years","75-84",29,Not Applicable,Not Applicable
,"California","06","2021 Week 02 ending January 16, 2021","2021/02","Renal failure","N17-N19","85+ years","85+",44,Not Applicable,Not Applicable
,"California","06","2021 Week 03 ending January 23, 2021","2021/03","Renal failure","N17-N19","55-64 years","55-64",19,Not Applicable,Not Applicable
,"California","06","2021 Week 03 ending January 23, 2021","2021/03","Renal failure","N17-N19","65-74 years","65-74",32,Not Applicable,Not Applicable
,"California","06","2021 Week 03 ending January 23, 2021","2021/03","Renal failure","N17-N19","75-84 years","75-84",23,Not Applicable,Not Applicable
,"California","06","2021 Week 03 ending January 23, 2021","2021/03","Renal failure","N17-N19","85+ years","85+",31,Not Applicable,Not Applicable
,"California","06","2021 Week 04 ending January 30, 2021","2021/04","Renal failure","N17-N19","65-74 years","65-74",22,Not Applicable,Not Applicable
,"California","06","2021 Week 04 ending January 30, 2021","2021/04","Renal failure","N17-N19","75-84 years","75-84",20,Not Applicable,Not Applicable
,"California","06","2021 Week 04 ending January 30, 2021","2021/04","Renal failure","N17-N19","85+ years","85+",19,Not Applicable,Not Applicable
,"California","06","2021 Week 05 ending February 06, 2021","2021/05","Renal failure","N17-N19","65-74 years","65-74",21,Not Applicable,Not Applicable
,"California","06","2021 Week 05 ending February 06, 2021","2021/05","Renal failure","N17-N19","75-84 years","75-84",29,Not Applicable,Not Applicable
,"California","06","2021 Week 05 ending February 06, 2021","2021/05","Renal failure","N17-N19","85+ years","85+",32,Not Applicable,Not Applicable
,"California","06","2021 Week 06 ending February 13, 2021","2021/06","Renal failure","N17-N19","55-64 years","55-64",15,Not Applicable,Not Applicable
,"California","06","2021 Week 06 ending February 13, 2021","2021/06","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2021 Week 06 ending February 13, 2021","2021/06","Renal failure","N17-N19","75-84 years","75-84",28,Not Applicable,Not Applicable
,"California","06","2021 Week 06 ending February 13, 2021","2021/06","Renal failure","N17-N19","85+ years","85+",25,Not Applicable,Not Applicable
,"California","06","2021 Week 07 ending February 20, 2021","2021/07","Renal failure","N17-N19","55-64 years","55-64",11,Not Applicable,Not Applicable
,"California","06","2021 Week 07 ending February 20, 2021","2021/07","Renal failure","N17-N19","65-74 years","65-74",19,Not Applicable,Not Applicable
,"California","06","2021 Week 07 ending February 20, 2021","2021/07","Renal failure","N17-N19","75-84 years","75-84",24,Not Applicable,Not Applicable
,"California","06","2021 Week 07 ending February 20, 2021","2021/07","Renal failure","N17-N19","85+ years","85+",23,Not Applicable,Not Applicable
,"California","06","2021 Week 08 ending February 27, 2021","2021/08","Renal failure","N17-N19","55-64 years","55-64",11,Not Applicable,Not Applicable
,"California","06","2021 Week 08 ending February 27, 2021","2021/08","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"California","06","2021 Week 08 ending February 27, 2021","2021/08","Renal failure","N17-N19","75-84 years","75-84",19,Not Applicable,Not Applicable
,"California","06","2021 Week 08 ending February 27, 2021","2021/08","Renal failure","N17-N19","85+ years","85+",25,Not Applicable,Not Applicable
,"California","06","2021 Week 09 ending March 06, 2021","2021/09","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2021 Week 09 ending March 06, 2021","2021/09","Renal failure","N17-N19","65-74 years","65-74",18,Not Applicable,Not Applicable
,"California","06","2021 Week 09 ending March 06, 2021","2021/09","Renal failure","N17-N19","75-84 years","75-84",18,Not Applicable,Not Applicable
,"California","06","2021 Week 09 ending March 06, 2021","2021/09","Renal failure","N17-N19","85+ years","85+",24,Not Applicable,Not Applicable
,"California","06","2021 Week 10 ending March 13, 2021","2021/10","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2021 Week 10 ending March 13, 2021","2021/10","Renal failure","N17-N19","65-74 years","65-74",20,Not Applicable,Not Applicable
,"California","06","2021 Week 10 ending March 13, 2021","2021/10","Renal failure","N17-N19","75-84 years","75-84",32,Not Applicable,Not Applicable
,"California","06","2021 Week 10 ending March 13, 2021","2021/10","Renal failure","N17-N19","85+ years","85+",41,Not Applicable,Not Applicable
,"California","06","2021 Week 11 ending March 20, 2021","2021/11","Renal failure","N17-N19","65-74 years","65-74",17,Not Applicable,Not Applicable
,"California","06","2021 Week 11 ending March 20, 2021","2021/11","Renal failure","N17-N19","75-84 years","75-84",16,Not Applicable,Not Applicable
,"California","06","2021 Week 11 ending March 20, 2021","2021/11","Renal failure","N17-N19","85+ years","85+",28,Not Applicable,Not Applicable
,"California","06","2021 Week 12 ending March 27, 2021","2021/12","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2021 Week 12 ending March 27, 2021","2021/12","Renal failure","N17-N19","75-84 years","75-84",25,Not Applicable,Not Applicable
,"California","06","2021 Week 12 ending March 27, 2021","2021/12","Renal failure","N17-N19","85+ years","85+",40,Not Applicable,Not Applicable
,"California","06","2021 Week 13 ending April 03, 2021","2021/13","Renal failure","N17-N19","55-64 years","55-64",15,Not Applicable,Not Applicable
,"California","06","2021 Week 13 ending April 03, 2021","2021/13","Renal failure","N17-N19","65-74 years","65-74",17,Not Applicable,Not Applicable
,"California","06","2021 Week 13 ending April 03, 2021","2021/13","Renal failure","N17-N19","75-84 years","75-84",27,Not Applicable,Not Applicable
,"California","06","2021 Week 13 ending April 03, 2021","2021/13","Renal failure","N17-N19","85+ years","85+",19,Not Applicable,Not Applicable
,"California","06","2021 Week 14 ending April 10, 2021","2021/14","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2021 Week 14 ending April 10, 2021","2021/14","Renal failure","N17-N19","75-84 years","75-84",22,Not Applicable,Not Applicable
,"California","06","2021 Week 14 ending April 10, 2021","2021/14","Renal failure","N17-N19","85+ years","85+",22,Not Applicable,Not Applicable
,"California","06","2021 Week 15 ending April 17, 2021","2021/15","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2021 Week 15 ending April 17, 2021","2021/15","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"California","06","2021 Week 15 ending April 17, 2021","2021/15","Renal failure","N17-N19","75-84 years","75-84",24,Not Applicable,Not Applicable
,"California","06","2021 Week 15 ending April 17, 2021","2021/15","Renal failure","N17-N19","85+ years","85+",31,Not Applicable,Not Applicable
,"California","06","2021 Week 16 ending April 24, 2021","2021/16","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2021 Week 16 ending April 24, 2021","2021/16","Renal failure","N17-N19","65-74 years","65-74",16,Not Applicable,Not Applicable
,"California","06","2021 Week 16 ending April 24, 2021","2021/16","Renal failure","N17-N19","75-84 years","75-84",20,Not Applicable,Not Applicable
,"California","06","2021 Week 16 ending April 24, 2021","2021/16","Renal failure","N17-N19","85+ years","85+",19,Not Applicable,Not Applicable
,"California","06","2021 Week 17 ending May 01, 2021","2021/17","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2021 Week 17 ending May 01, 2021","2021/17","Renal failure","N17-N19","75-84 years","75-84",19,Not Applicable,Not Applicable
,"California","06","2021 Week 17 ending May 01, 2021","2021/17","Renal failure","N17-N19","85+ years","85+",26,Not Applicable,Not Applicable
,"California","06","2021 Week 18 ending May 08, 2021","2021/18","Renal failure","N17-N19","55-64 years","55-64",13,Not Applicable,Not Applicable
,"California","06","2021 Week 18 ending May 08, 2021","2021/18","Renal failure","N17-N19","65-74 years","65-74",20,Not Applicable,Not Applicable
,"California","06","2021 Week 18 ending May 08, 2021","2021/18","Renal failure","N17-N19","75-84 years","75-84",16,Not Applicable,Not Applicable
,"California","06","2021 Week 18 ending May 08, 2021","2021/18","Renal failure","N17-N19","85+ years","85+",12,Not Applicable,Not Applicable
,"California","06","2021 Week 19 ending May 15, 2021","2021/19","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2021 Week 19 ending May 15, 2021","2021/19","Renal failure","N17-N19","75-84 years","75-84",19,Not Applicable,Not Applicable
,"California","06","2021 Week 19 ending May 15, 2021","2021/19","Renal failure","N17-N19","85+ years","85+",38,Not Applicable,Not Applicable
,"California","06","2021 Week 20 ending May 22, 2021","2021/20","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"California","06","2021 Week 20 ending May 22, 2021","2021/20","Renal failure","N17-N19","75-84 years","75-84",23,Not Applicable,Not Applicable
,"California","06","2021 Week 20 ending May 22, 2021","2021/20","Renal failure","N17-N19","85+ years","85+",31,Not Applicable,Not Applicable
,"California","06","2021 Week 21 ending May 29, 2021","2021/21","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2021 Week 21 ending May 29, 2021","2021/21","Renal failure","N17-N19","65-74 years","65-74",25,Not Applicable,Not Applicable
,"California","06","2021 Week 21 ending May 29, 2021","2021/21","Renal failure","N17-N19","75-84 years","75-84",28,Not Applicable,Not Applicable
,"California","06","2021 Week 21 ending May 29, 2021","2021/21","Renal failure","N17-N19","85+ years","85+",25,Not Applicable,Not Applicable
,"California","06","2021 Week 22 ending June 05, 2021","2021/22","Renal failure","N17-N19","65-74 years","65-74",18,Not Applicable,Not Applicable
,"California","06","2021 Week 22 ending June 05, 2021","2021/22","Renal failure","N17-N19","75-84 years","75-84",19,Not Applicable,Not Applicable
,"California","06","2021 Week 22 ending June 05, 2021","2021/22","Renal failure","N17-N19","85+ years","85+",33,Not Applicable,Not Applicable
,"California","06","2021 Week 23 ending June 12, 2021","2021/23","Renal failure","N17-N19","55-64 years","55-64",11,Not Applicable,Not Applicable
,"California","06","2021 Week 23 ending June 12, 2021","2021/23","Renal failure","N17-N19","65-74 years","65-74",21,Not Applicable,Not Applicable
